id,track,subtrack,old_tech,new_tech,rule
"rq-b-be-data-mid-1-2","backend","be-data","微服务","Flink","Flink"
"rq-b-be-data-mid-1-3","backend","be-data","微服务","Flink","Flink"
"rq-b-be-data-mid-1-4","backend","be-data","微服务","Flink","Flink"
"rq-b-be-data-1-4","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-1-6","backend","be-data","MySQL","数仓建模","数仓建模"
"rq-b-be-data-4-5","backend","be-data","系统设计","调度与集成","调度与集成"
"rq-b-be-data-4-6","backend","be-data","MySQL","数仓建模","数仓建模"
"rq-b-be-data-3-6-r2","backend","be-data","系统设计","综合应用","兜底"
"rq-b-be-data-3-7","backend","be-data","系统设计","综合应用","兜底"
"rq-b-be-data-2-4","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-senior-0-5","backend","be-data","系统设计","Flink","Flink"
"rq-b-be-data-mid-0-6","backend","be-data","微服务","数仓建模","数仓建模"
"rq-b-be-data-junior-1-5","backend","be-data","MySQL","Hive","Hive"
"rq-o-op-sec-2-1","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-2-4","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-2-5","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-2-1-r2","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-2-2-r2","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-2-3-r2","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-2-4-r2","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-2-5-r2","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-2-6","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-2-7","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-4-1","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-4-2","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-4-3","devops","op-sec","CI/CD","安全","安全"
"rq-o-op-sec-4-4","devops","op-sec","Kubernetes","安全","安全"
"rq-o-op-sec-1-1","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-1-2","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-1-3","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-1-4","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-1-5","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-0-1","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-0-2","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-0-3","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-0-4","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-0-5","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-0-7","devops","op-sec","容器/Docker","安全","安全"
"rq-o-op-sec-3-1","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-3-2","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-3-3","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-3-4","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-3-5","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-0-1-r2","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-0-2-r2","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-0-3-r2","devops","op-sec","Kubernetes","安全","安全"
"rq-o-op-sec-0-4-r2","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-0-5-r2","devops","op-sec","Linux","网络","网络"
"rq-o-op-sec-3-1-r2","devops","op-sec","CI/CD","安全","安全"
"rq-o-op-sec-3-2-r2","devops","op-sec","CI/CD","安全","安全"
"rq-o-op-sec-3-5-r2","devops","op-sec","CI/CD","安全","安全"
"rq-o-op-sec-3-6","devops","op-sec","CI/CD","安全","安全"
"rq-o-op-sec-3-1-r3","devops","op-sec","容器/Docker","安全","安全"
"rq-o-op-sec-3-2-r3","devops","op-sec","容器/Docker","安全","安全"
"rq-o-op-sec-3-3-r3","devops","op-sec","Kubernetes","安全","安全"
"rq-o-op-sec-3-4-r3","devops","op-sec","容器/Docker","安全","安全"
"rq-o-op-sec-3-5-r3","devops","op-sec","Kubernetes","安全","安全"
"rq-o-op-sec-3-6-r2","devops","op-sec","CI/CD","安全","安全"
"rq-o-op-sec-3-7","devops","op-sec","Kubernetes","安全","安全"
"rq-o-op-sec-senior-0-1","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-senior-0-2","devops","op-sec","Kubernetes","安全","安全"
"rq-o-op-sec-senior-0-3","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-senior-0-8","devops","op-sec","CI/CD","安全","安全"
"rq-o-op-sec-senior-1-1","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-senior-1-5","devops","op-sec","Kubernetes","安全","安全"
"rq-o-op-sec-senior-1-6","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-senior-1-7","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-senior-2-1","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-senior-2-2","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-senior-2-3","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-senior-2-5","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-senior-2-6","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-junior-1-1","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-junior-1-2","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-junior-1-3","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-junior-1-4","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-2-6-r2","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-4-5","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-0-6-r2","devops","op-sec","Linux","安全","安全"
"rq-o-op-sec-3-7-r2","devops","op-sec","CI/CD","安全","安全"
"rq-o-op-sec-3-8","devops","op-sec","CI/CD","安全","安全"
"rq-o-op-sec-senior-0-4","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-senior-0-6","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-senior-0-7","devops","op-sec","Kubernetes","安全","安全"
"rq-o-op-sec-senior-1-2","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-senior-1-4","devops","op-sec","网络","安全","安全"
"rq-o-op-sec-senior-2-4","devops","op-sec","SRE","安全","安全"
"rq-o-op-sec-senior-2-7","devops","op-sec","Kubernetes","安全","安全"
"rq-o-op-sec-junior-1-5","devops","op-sec","SRE","安全","安全"
"aq11","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"aq28","ai","ai-infra","部署与成本","综合应用","兜底"
"aq9","ai","ai-app","RAG","Prompt 工程","Prompt 工程"
"aq24","ai","ai-app","RAG","Agent","Agent"
"aq40","ai","ai-mlops","Eval","推理与部署","推理与部署"
"aq6","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"iq-m5-ai-4","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"aq33","ai","ai-mlops","Eval","评估与观测","评估与观测"
"aq22","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"aq30","ai","ai-app","RAG","Agent","Agent"
"aq12","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"aq18","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"aq1","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"aq10","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"aq19","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"aq25","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"aq14","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"aq20","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"iq-m5-ai-24","ai","ai-app","RAG","Agent","Agent"
"iq-m5-ai-13","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"aq15","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"aq35","ai","ai-mlops","Eval","评估与观测","评估与观测"
"aq48","ai","ai-mlops","Eval","评估与观测","评估与观测"
"aq17","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"aq29","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"aq13","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"aq21","ai","ai-mlops","Eval","评估与观测","评估与观测"
"aq5","ai","ai-mlops","Eval","RAG","RAG"
"aq26","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"aq41","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"aq37","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"aq46","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"aq36","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"iq-m5-ai-6","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"iq-m5-ai-16","ai","ai-infra","部署与成本","模型与训练","模型与训练"
"iq-m5-ai-23","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"iq-m5-ai-1","ai","ai-infra","部署与成本","模型与训练","模型与训练"
"iq-m5-ai-17","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-1","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-2","ai","ai-mlops","Eval","推理与部署","推理与部署"
"xq-a-9","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-12","ai","ai-app","Agent","RAG","RAG"
"xq-a-15","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-16","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-19","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-20","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-21","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-22","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-23","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-24","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-25","ai","ai-mlops","Eval","推理与部署","推理与部署"
"xq-a-26","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-27","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-28","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-29","ai","ai-mlops","Eval","推理与部署","推理与部署"
"xq-a-30","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-31","ai","ai-mlops","Eval","推理与部署","推理与部署"
"xq-a-32","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-33","ai","ai-app","RAG","推理与部署","推理与部署"
"xq-a-34","ai","ai-app","RAG","推理与部署","推理与部署"
"xq-a-35","ai","ai-app","Prompt","推理与部署","推理与部署"
"xq-a-36","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-37","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-38","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-39","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-40","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-41","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-42","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-43","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-53","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-54","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-65","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-66","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-67","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-71","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-78","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-81","ai","ai-app","RAG","推理与部署","推理与部署"
"xq-a-84","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-86","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-87","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-88","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-91","ai","ai-app","RAG","Prompt 工程","Prompt 工程"
"xq-a-93","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-94","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-95","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-96","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-97","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-99","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-100","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-101","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-105","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-107","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-108","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-110","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-111","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-113","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-114","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-115","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-116","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-117","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-118","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-119","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-124","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-125","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-126","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-127","ai","ai-infra","部署与成本","RAG","RAG"
"xq-a-129","ai","ai-infra","部署与成本","RAG","RAG"
"xq-a-130","ai","ai-infra","部署与成本","RAG","RAG"
"xq-a-136","ai","ai-mlops","Eval","模型与训练","模型与训练"
"xq-a-139","ai","ai-app","RAG","模型与训练","模型与训练"
"xq-a-141","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-142","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-143","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-144","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-145","ai","ai-mlops","Eval","推理与部署","推理与部署"
"xq-a-146","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-147","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-148","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-149","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-153","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-157","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-163","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-164","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-167","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-176","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-182","ai","ai-app","RAG","Agent","Agent"
"xq-a-183","ai","ai-app","RAG","综合应用","兜底"
"xq-a-184","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-185","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-186","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-187","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-188","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-189","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-192","ai","ai-mlops","Eval","推理与部署","推理与部署"
"xq-a-194","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-195","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-199","ai","ai-infra","部署与成本","评估与观测","评估与观测"
"xq-a-201","ai","ai-infra","部署与成本","评估与观测","评估与观测"
"xq-a-204","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-205","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-215","ai","ai-mlops","Eval","数据与标注","数据与标注"
"xq-a-216","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-217","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-218","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-219","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-220","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-221","ai","ai-mlops","Eval","推理与部署","推理与部署"
"xq-a-225","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-226","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-228","ai","ai-app","Agent","综合应用","兜底"
"xq-a-231","ai","ai-app","Agent","综合应用","兜底"
"xq-a-232","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-234","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-236","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-237","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-238","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-240","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-244","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-246","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-247","ai","ai-mlops","Eval","综合应用","兜底"
"xq-a-248","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-251","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-252","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-253","ai","ai-app","Agent","Prompt 工程","Prompt 工程"
"xq-a-255","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-260","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-262","ai","ai-app","RAG","Prompt 工程","Prompt 工程"
"xq-a-263","ai","ai-mlops","Eval","推理与部署","推理与部署"
"xq-a-264","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-265","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-266","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-267","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-268","ai","ai-app","Agent","推理与部署","推理与部署"
"xq-a-269","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-271","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-273","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-274","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-275","ai","ai-app","Agent","RAG","RAG"
"xq-a-276","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-278","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-279","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-282","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-284","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-288","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-290","ai","ai-infra","部署与成本","评估与观测","评估与观测"
"xq-a-298","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-302","ai","ai-infra","部署与成本","Agent","Agent"
"xq-a-304","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-305","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-309","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-310","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-311","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-312","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-313","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-314","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-318","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-319","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-320","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-324","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-326","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-327","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-329","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-337","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-338","ai","ai-infra","部署与成本","评估与观测","评估与观测"
"xq-a-339","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-340","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-342","ai","ai-app","RAG","综合应用","兜底"
"xq-a-343","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-345","ai","ai-mlops","Eval","评估与观测","评估与观测"
"xq-a-346","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-347","ai","ai-app","Prompt","推理与部署","推理与部署"
"xq-a-350","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-352","ai","ai-infra","部署与成本","模型与训练","模型与训练"
"xq-a-353","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-354","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
"xq-a-358","ai","ai-app","RAG","综合应用","兜底"
"xq-a-359","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-362","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-363","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-365","ai","ai-mlops","Eval","RAG","RAG"
"xq-a-369","ai","ai-infra","部署与成本","RAG","RAG"
"xq-a-371","ai","ai-app","Prompt","Prompt 工程","Prompt 工程"
"xq-a-372","ai","ai-app","Prompt","RAG","RAG"
"xq-a-373","ai","ai-infra","部署与成本","推理与部署","推理与部署"
"xq-a-374","ai","ai-mlops","Eval","推理与部署","推理与部署"
"xq-a-375","ai","ai-infra","部署与成本","Prompt 工程","Prompt 工程"
