id,track,subtrack,tech,skill,source,q_preview
"rq-a-ai-algo-1-4","ai","ai-algo","RAG","领域方向深入","","在推荐系统中，Embedding层是模型的核心。请解释Embedding的维度如何选择，训练中如何处理大规模稀疏特征（如用户ID），以及Embedding向量在召回和排序中的复用策略。"
"rq-a-ai-algo-1-4-r2","ai","ai-algo","部署与成本","深度学习框架","","请对比 PyTorch 中 `torch.nn.Module`、`torch.nn.functional` 和 `torch.optim` 三者的角色，并说明在训练循环中如何正确组织它们。"
"rq-a-ai-algo-1-5","ai","ai-algo","部署与成本","领域方向深入","","在NLP的文本分类任务中，预训练模型（如BERT）微调时，常见的过拟合与欠拟合现象分别是什么？请给出诊断方法及相应的正则化策略。"
"rq-a-ai-algo-1-5-r2","ai","ai-algo","部署与成本","深度学习框架","","请列举 PyTorch 中至少 3 个初学者容易踩的坑，并给出正确的解决方式或规避策略。"
"rq-a-ai-algo-1-6","ai","ai-algo","部署与成本","深度学习框架","","请实现一个完整的 PyTorch 训练脚本（伪代码级别），包含模型定义、数据加载、训练与验证循环、模型保存与加载，并说明 checkpoint 保存时需要注意什么。"
"rq-a-ai-algo-1-6-r2","ai","ai-algo","部署与成本","领域方向深入","","在推荐系统的排序阶段，多目标优化（如点击率CTR与转化率CVR）常用MMoE或PLE结构。请解释其原理，并说明为何直接加权求和多个损失函数往往效果不佳，以及如何设计门控网络。"
"rq-a-ai-algo-2-1","ai","ai-algo","部署与成本","特征工程与数据增强","","请解释特征工程在传统机器学习和深度学习（如CV/NLP）中的角色有何不同？为什么在深度学习时代特征工程仍然重要？"
"rq-a-ai-algo-2-1-r2","ai","ai-algo","部署与成本","多模态与前沿跟进","","请解释多模态统一建模的核心思想，并对比“双塔”结构与“融合编码器”结构在图文建模上的本质区别。结合你熟悉的模型（如CLIP、ViLT、Flamingo）说明各自适用场景。"
"rq-a-ai-algo-2-2","ai","ai-algo","部署与成本","特征工程与数据增强","","在样本不均衡场景下（如点击率预测、罕见病检测），你会如何设计特征工程与数据增强策略？请从数据层面和算法层面分别阐述。"
"rq-a-ai-algo-2-2-r2","ai","ai-algo","RAG","多模态与前沿跟进","","在图文检索任务中，你使用CLIP双塔模型，发现召回率（Recall@K）在跨语言场景下严重下降。请分析可能原因，并给出至少三种可落地的改进方案，说明各自代价。"
"rq-a-ai-algo-2-3","ai","ai-algo","部署与成本","特征工程与数据增强","","请对比“特征构造”与“特征选择”的区别与联系，并说明在特征数量极大（如高维稀疏场景）时，你会如何筛选特征？"
"rq-a-ai-algo-2-3-r2","ai","ai-algo","部署与成本","多模态与前沿跟进","","你接到一个任务：复现一篇2024年顶会论文的图文语音三模态模型，但官方代码缺失。请描述你的完整复现流程，并重点说明如何判断复现结果是否“成功”。"
"rq-a-ai-algo-2-4","ai","ai-algo","部署与成本","特征工程与数据增强","","在CV任务（如图像分类）中，请设计一套数据增强策略，并解释为什么这些增强能提升模型泛化能力？同时指出哪些增强在推理时不应使用。"
"rq-a-ai-algo-2-4-r2","ai","ai-algo","部署与成本","多模态与前沿跟进","","在设计一个电商多模态推荐系统时，你需要融合用户点击的图片与文本评论。对比“早期融合（token级拼接）”与“晚期融合（特征级加权）”两种方案，你会选哪种？请给出决策依据与实现伪代码。"
"rq-a-ai-algo-2-5","ai","ai-algo","部署与成本","特征工程与数据增强","","在NLP文本分类任务中，如何针对“短文本”和“长文本”分别设计特征工程与数据增强方案？请结合具体方法。"
"rq-a-ai-algo-2-5-r2","ai","ai-algo","部署与成本","多模态与前沿跟进","","在训练一个图文语音三模态模型时，你发现语音模态loss下降缓慢，且最终指标不如单模态基线。请从数据、模型、优化三个层面分析可能原因，并给出排查步骤。"
"rq-a-ai-algo-2-6","ai","ai-algo","Eval","特征工程与数据增强","","请解释什么是“特征泄露”（Feature Leakage），并举例说明在时间序列预测和推荐系统中如何避免？这与数据增强有何关联？"
"rq-a-ai-algo-2-6-r2","ai","ai-algo","部署与成本","多模态与前沿跟进","","你如何判断一个新发布的多模态模型（如GPT-4V、Gemini）是否值得引入到你的工业级项目中？请给出你的技术选型判断框架，并说明如何设计一个最小验证实验（PoC）。"
"rq-a-ai-algo-2-7","ai","ai-algo","Eval","特征工程与数据增强","","请设计一个针对“特征工程与数据增强”的评估方案，如何量化特征工程/增强策略的收益？请给出具体实验设计。"
"rq-a-ai-algo-2-7-r2","ai","ai-algo","部署与成本","多模态与前沿跟进","","请解释“对比学习”在多模态预训练中的核心机制，并说明为什么CLIP的batch size对最终效果影响巨大。若你只有4张A100（每张80G），如何设计训练策略来逼近CLIP的效果？"
"rq-a-ai-algo-2-8","ai","ai-algo","RAG","特征工程与数据增强","","在推荐系统中，如何处理“用户冷启动”和“物品冷启动”场景下的特征工程与数据增强？请给出具体策略。"
"rq-a-ai-algo-3-1","ai","ai-algo","部署与成本","经典模型与损失函数","","请解释CNN、RNN、Transformer三种经典模型的核心结构差异，并说明它们各自最适用的数据场景是什么？"
"rq-a-ai-algo-3-2","ai","ai-algo","部署与成本","经典模型与损失函数","","请详细推导Transformer中Self-Attention的计算过程，并解释为什么需要除以√d_k？如果去掉缩放因子会发生什么？"
"rq-a-ai-algo-3-3","ai","ai-algo","部署与成本","经典模型与损失函数","","在训练图像分类模型时，你如何选择损失函数？请对比Softmax Cross-Entropy、Focal Loss和Triplet Loss的适用场景与优缺点。"
"rq-a-ai-algo-3-4","ai","ai-algo","部署与成本","经典模型与损失函数","","RNN训练中常出现梯度消失和梯度爆炸问题，请说明其成因，并分别给出至少两种解决方案，解释其原理。"
"rq-a-ai-algo-3-5","ai","ai-algo","部署与成本","经典模型与损失函数","","请解释交叉熵损失函数的数学定义，并说明为什么分类任务中常用它而不用均方误差（MSE）？请给出代码实现（PyTorch）。"
"rq-a-ai-algo-3-6","ai","ai-algo","部署与成本","经典模型与损失函数","","Transformer相比RNN在长序列建模上有明显优势，但它的自注意力机制存在O(n²)复杂度问题。请分析有哪些常见的优化方案，并说明各自的原理和适用场景。"
"rq-a-ai-algo-4-1","ai","ai-algo","部署与成本","实验管理与复现","","请解释什么是随机种子（Random Seed），为什么在实验管理中需要设置它？设置随机种子是否就能保证实验结果完全可复现？"
"rq-a-ai-algo-4-1-r2","ai","ai-algo","部署与成本","模型导出与推理服务化","","请解释ONNX和TorchScript在模型导出中的核心定位和区别，以及各自适用的部署场景。"
"rq-a-ai-algo-4-2","ai","ai-algo","部署与成本","实验管理与复现","","在训练实验中，配置管理有哪些最佳实践？如何设计一个可复现的实验配置系统？"
"rq-a-ai-algo-4-2-r2","ai","ai-algo","部署与成本","模型导出与推理服务化","","在ONNX导出过程中，如何处理动态输入形状（如NLP中变长序列）？请给出具体配置和潜在风险。"
"rq-a-ai-algo-4-3","ai","ai-algo","部署与成本","实验管理与复现","","你在训练中发现两次相同配置的实验结果差异较大（如准确率波动超过1%），请分析可能的原因，并给出排查和解决方案。"
"rq-a-ai-algo-4-3-r2","ai","ai-algo","部署与成本","模型导出与推理服务化","","模型服务化部署时，如何设计批处理（batching）策略以降低延迟和提高吞吐？请结合动态batching和连续batching对比说明。"
"rq-a-ai-algo-4-4","ai","ai-algo","部署与成本","实验管理与复现","","对比""实验记录""的两种方式：手动记录（Excel/Notion）与自动追踪工具（MLflow/WandB）。在什么场景下你会选择哪种？请给出你的选择标准。"
"rq-a-ai-algo-4-4-r2","ai","ai-algo","部署与成本","模型导出与推理服务化","","模型导出后，推理延迟依然很高。请从“导出—优化—服务”三个层面给出系统性的排查与优化思路。"
"rq-a-ai-algo-4-5","ai","ai-algo","Eval","实验管理与复现","","请设计一个实验方案，用于验证""增加模型宽度（如ResNet从50层到101层）是否提升精度""。要求方案包含如何控制变量、如何记录实验、如何判断结论的可靠性。"
"rq-a-ai-algo-4-5-r2","ai","ai-algo","部署与成本","模型导出与推理服务化","","请对比TensorRT与ONNX Runtime在模型推理服务化中的优劣，并给出选型建议。"
"rq-a-ai-algo-4-6","ai","ai-algo","部署与成本","实验管理与复现","","在代码中实现一个`set_seed`函数，要求能同时控制Python、NumPy、PyTorch（CPU/GPU）的随机性，并处理DataLoader的复现问题。请写出完整代码并解释关键点。"
"rq-a-ai-algo-4-6-r2","ai","ai-algo","部署与成本","模型导出与推理服务化","","在将PyTorch模型导出为ONNX时，遇到“算子不支持”或“导出失败”的情况，请描述你的排查与解决流程。"
"rq-a-ai-algo-4-7","ai","ai-algo","部署与成本","模型导出与推理服务化","","请设计一个面向高并发场景的模型推理服务架构，要求包含模型导出、服务封装、弹性伸缩和延迟优化，并画出组件交互流程。"
"rq-a-ai-algo-junior-2-1","ai","ai-algo","部署与成本","Python 数据处理","","在 Python 数据处理中，pandas 和 numpy 的核心区别是什么？在 AI 工程的数据清洗聚合任务中，你如何选择使用哪一个？"
"rq-a-ai-algo-junior-2-2","ai","ai-algo","部署与成本","Python 数据处理","","在 pandas 中，`apply`、`map`、`applymap` 三者的区别是什么？在批量清洗数据集时，如何避免它们的性能陷阱？"
"rq-a-ai-algo-junior-2-3","ai","ai-algo","部署与成本","Python 数据处理","","请解释 pandas 中的 `groupby` 机制。在处理大规模数据集（如千万级用户行为日志）时，`groupby` 聚合有哪些常见坑和优化手段？"
"rq-a-ai-algo-junior-2-4","ai","ai-algo","部署与成本","Python 数据处理","","在数据清洗中，如何处理缺失值（NaN）？请对比 `dropna`、`fillna`、`interpolate` 的适用场景，并说明在 AI 工程中（如训练集构建）应遵循什么原则。"
"rq-a-ai-algo-junior-2-5","ai","ai-algo","部署与成本","Python 数据处理","","请对比 pandas 的 `merge` 与 `concat` 在合并数据时的区别。在批量处理多个数据集（如分片 CSV）时，如何选择并避免常见错误？"
"rq-a-ai-algo-junior-2-6","ai","ai-algo","部署与成本","Python 数据处理","","请解释 numpy 的广播（broadcasting）机制。在处理不同形状的数组（如特征矩阵与偏置向量相加）时，广播的规则是什么？有哪些隐蔽的错误？"
"rq-a-ai-algo-mid-3-1","ai","ai-algo","Eval","模型评估与指标设计","","在模型评估中，离线指标（如 AUC、BLEU）与业务指标（如 CTR、留存率）经常出现不一致的情况。请从原理上解释为什么会出现这种“离线-在线不一致”现象，并给出至少三种系统性对齐策略。"
"rq-a-ai-algo-mid-3-2","ai","ai-algo","Eval","模型评估与指标设计","","请详细解释 A/B 实验中的“显著性检验”流程。假设你在推荐团队，新模型离线 AUC 提升 0.5%，你计划上线 A/B 实验，请写出从实验设计到得出结论的完整步骤，并说明每一步的统计学依据。"
"rq-a-ai-algo-mid-3-3","ai","ai-algo","Eval","模型评估与指标设计","","在模型评估中，常见的“陷阱”有哪些？请至少列举五个，并说明每个陷阱的成因、危害及规避方法。"
"rq-a-ai-algo-mid-3-4","ai","ai-algo","Eval","模型评估与指标设计","","对比辨析题：请比较“离线评估（Offline Evaluation）”与“在线评估（Online Evaluation / A/B Testing）”的优缺点，并说明在什么场景下必须使用在线评估？请结合一个具体业务场景（如推荐系统或 NLP"
"rq-a-ai-algo-mid-3-5","ai","ai-algo","Eval","模型评估与指标设计","","场景/编码实战题：你正在评估一个二分类模型（如点击率预测），测试集正样本占比 1%。请用 Python 编写代码，计算并输出以下指标：Precision、Recall、F1、PR-AUC、ROC-AUC，并绘制 PR 曲线。同时，请解释为什"
"rq-a-ai-algo-senior-0-1","ai","ai-algo","Eval","端到端算法方案设计","","在端到端算法方案设计中，请解释“问题定义”阶段的核心产出物是什么？为什么说它是整个方案设计的基石？请结合一个具体业务场景（如电商推荐）说明。"
"rq-a-ai-algo-senior-0-2","ai","ai-algo","部署与成本","端到端算法方案设计","","在数据方案设计中，如何系统性地评估并解决“训练数据与线上真实数据分布不一致”的问题？请给出至少三种检测方法与对应的缓解策略。"
"rq-a-ai-algo-senior-0-3","ai","ai-algo","部署与成本","端到端算法方案设计","","请对比“传统pipeline式算法方案”与“端到端方案”在模型迭代路线上的核心差异。在什么情况下你会坚持选择pipeline方案？请给出决策依据。"
"rq-a-ai-algo-senior-0-4","ai","ai-algo","Eval","端到端算法方案设计","","设计一个端到端方案时，如何构建“离线评估-在线验证-持续监控”的闭环体系？请以NLP文本分类任务为例，给出每个环节的关键指标与具体操作步骤。"
"rq-a-ai-algo-senior-0-5","ai","ai-algo","部署与成本","端到端算法方案设计","","在端到端推荐系统方案中，模型迭代路线通常包含“召回-粗排-精排-重排”多个阶段。请设计一个完整的迭代路线，并说明每个阶段的模型选型、训练数据、评估指标与常见失败模式。"
"rq-a-ai-algo-senior-0-6","ai","ai-algo","Eval","端到端算法方案设计","","在端到端方案上线后，你发现离线AUC提升3%，但线上核心业务指标（如GMV）不升反降。请系统性地排查并定位问题根因，给出至少四种可能的假设及对应的验证方法。"
"rq-a-ai-algo-senior-0-7","ai","ai-algo","部署与成本","端到端算法方案设计","","请设计一个端到端方案用于“智能客服工单自动分类与优先级判定”场景。要求给出问题定义、数据方案、模型选型与迭代路线、上线闭环，并指出其中最容易出错的三个环节。"
"rq-a-ai-algo-senior-1-1","ai","ai-algo","部署与成本","预训练与微调","","请解释什么是预训练与微调（Pre-training & Fine-tuning）范式？为什么在大型语言模型时代，我们仍然需要微调，而不是直接使用预训练模型进行推理？"
"rq-a-ai-algo-senior-1-2","ai","ai-algo","部署与成本","预训练与微调","","请详细解释LoRA（Low-Rank Adaptation）的原理。为什么LoRA能在大幅减少可训练参数的同时，保持与全量微调相当的性能？"
"rq-a-ai-algo-senior-1-3","ai","ai-algo","部署与成本","预训练与微调","","在RLHF（基于人类反馈的强化学习）流程中，请详细说明三个阶段的训练目标、数据格式和损失函数，并解释为什么需要这三阶段而非一步到位。"
"rq-a-ai-algo-senior-1-4","ai","ai-algo","部署与成本","预训练与微调","","在预训练数据配比中，如何确定不同来源数据（如网页、书籍、代码、多语言）的比例？请举例说明数据配比对模型能力的影响。"
"rq-a-ai-algo-senior-1-5","ai","ai-algo","部署与成本","预训练与微调","","在微调过程中，如何判断模型是否过拟合？请列举至少三种监控指标，并说明如何在训练过程中动态调整策略以避免过拟合。"
"rq-a-ai-algo-senior-1-6","ai","ai-algo","部署与成本","预训练与微调","","请对比SFT（监督微调）与RLHF（强化学习微调）在目标函数、数据需求、训练稳定性和最终效果上的差异。在什么场景下应该选择SFT而非RLHF？"
"rq-a-ai-algo-senior-1-7","ai","ai-algo","部署与成本","预训练与微调","","请解释LoRA与QLoRA（Quantized LoRA）的区别。QLoRA如何在显存受限的情况下微调大模型（如65B）？请给出关键配置和训练流程。"
"rq-a-ai-algo-senior-3-1","ai","ai-algo","Eval","算法业务价值度量","","在算法业务价值度量中，“收益归因”和“成本收益比”的核心区别是什么？请结合一个具体的AI项目（如推荐系统或CV质检）说明两者如何配合使用。"
"rq-a-ai-algo-senior-3-2","ai","ai-algo","Eval","算法业务价值度量","","请深挖“收益归因”的常见方法（如A/B测试、DID、合成对照、uplift model），并说明在算法模型灰度发布时，如何避免“辛普森悖论”导致的错误归因。"
"rq-a-ai-algo-senior-3-3","ai","ai-algo","部署与成本","算法业务价值度量","","在算法业务价值度量中，如何与业务方（如运营、产品经理）对齐“目标”？请设计一个“目标对齐”的完整流程，并指出最容易产生的分歧点及化解策略。"
"rq-a-ai-algo-senior-3-4","ai","ai-algo","Eval","算法业务价值度量","","请对比“离线评估”（如AUC、NDCG）与“在线收益度量”（如A/B测试的GMV提升）在算法价值度量中的角色，并说明为什么会出现“离线指标涨、在线收益跌”的现象，如何避免？"
"rq-a-ai-algo-senior-3-5","ai","ai-algo","部署与成本","算法业务价值度量","","请设计一个“成本收益比（ROI）”的计算框架，用于评估“用GPT-4替代传统BERT模型做客服意图识别”的决策。请给出量化公式、关键参数假设，并指出该决策的“隐藏成本”。"
"rq-a-ai-algo-senior-3-6","ai","ai-algo","Eval","算法业务价值度量","","在算法价值度量中，如何设计一个“归因实验”来证明某推荐算法对GMV的增量贡献？请给出从实验设计、分流策略、统计检验到结论汇报的完整方案，并说明如何应对“用户间干扰”（network effect）。"
"rq-a-ai-algo-senior-3-7","ai","ai-algo","部署与成本","算法业务价值度量","","你如何向非技术背景的CEO汇报“算法团队上季度创造了多少价值”？请设计一个汇报框架，要求包含“价值故事线”、“量化证据链”和“风险提示”，并举例说明如何避免“价值注水”的质疑。"
"aq1","ai","ai-app","Prompt","","","什么是提示工程（Prompt Engineering）？有哪些核心技巧？"
"aq16","ai","ai-app","RAG","","","什么是向量数据库？与关系型数据库区别？"
"aq2","ai","ai-app","RAG","","","什么是 RAG（检索增强生成）？基本流程？"
"aq23","ai","ai-app","RAG","","","什么是语义缓存（Semantic Cache）？"
"aq24","ai","ai-app","RAG","","","LLM 应用如何做多轮对话与记忆？"
"aq27","ai","ai-app","Agent","","https://platform.openai.com/docs/guides/function-calling","什么是 MCP（Model Context Protocol）？"
"aq3","ai","ai-app","RAG","","","RAG 中如何做文本切分（chunking）？"
"aq30","ai","ai-app","RAG","","","什么是 LangChain / LlamaIndex？解决什么？"
"aq31","ai","ai-app","RAG","","","什么是 GraphRAG？相比传统 RAG 解决了什么？"
"aq32","ai","ai-app","RAG","","","Self-RAG / 自适应检索的思路是什么？"
"aq34","ai","ai-app","Agent","","https://platform.openai.com/docs/guides/function-calling","Agent 记忆的工程实现：向量记忆 vs 摘要记忆。"
"aq38","ai","ai-app","RAG","","","向量库的运维：备份、迁移与容量规划。"
"aq39","ai","ai-app","Agent","","https://platform.openai.com/docs/guides/function-calling","什么是 Function Calling 的""并行调用""与""流水线""？"
"aq4","ai","ai-app","RAG","","","什么是 Embedding？如何选向量检索方案？"
"aq42","ai","ai-app","RAG","","","RAG 中的""查询改写/扩展""（Query Rewriting）有什么用？"
"aq43","ai","ai-app","RAG","","","多模态 RAG 如何设计与存储？"
"aq44","ai","ai-app","Agent","","https://platform.openai.com/docs/guides/function-calling","Agent 的""反思（Reflection）""循环如何提升质量？"
"aq45","ai","ai-app","RAG","","","企业知识库 RAG 的权限隔离怎么做？"
"aq47","ai","ai-app","Agent","","https://platform.openai.com/docs/guides/function-calling","什么是""模型上下文协议"" MCP 的生态意义？"
"aq7","ai","ai-app","Agent","","https://platform.openai.com/docs/guides/function-calling","什么是 Function Calling / Tool Use？"
"aq8","ai","ai-app","Agent","","https://platform.openai.com/docs/guides/function-calling","什么是 Agent（智能体）？ReAct 范式是什么？"
"aq9","ai","ai-app","RAG","","","LLM 应用中的上下文窗口与长文本处理"
"as1","ai","ai-app","RAG","","","设计一个生产级 RAG 系统的完整架构"
"as2","ai","ai-app","Agent","","https://platform.openai.com/docs/guides/function-calling","如何实现一个带工具调用的 Agent？"
"as3","ai","ai-app","RAG","","","设计一个企业知识库问答（KBQA）方案"
"as8","ai","ai-app","RAG","","","实现一个简单的语义缓存与降本管线"
"iq-m5-ai-12","ai","ai-app","RAG","","","长上下文与检索增强该如何取舍？"
"iq-m5-ai-14","ai","ai-app","Agent","","https://platform.openai.com/docs/guides/function-calling","为 LLM 设计函数/工具调用接口时应注意什么？"
"iq-m5-ai-18","ai","ai-app","RAG","","","向量库中 ANN 索引（如 HNSW/IVF）的原理与取舍？"
"iq-m5-ai-2","ai","ai-app","RAG","","","Embedding 与向量检索之间是什么关系？为什么 RAG 依赖它？"
"iq-m5-ai-22","ai","ai-app","RAG","","","检索结果的重排（Re-ranking）为什么重要？常用做法？"
"iq-m5-ai-23","ai","ai-app","Prompt","","","设计系统提示（System Prompt）时应遵循哪些原则？"
"iq-m5-ai-24","ai","ai-app","RAG","","","多轮对话中应如何管理上下文与记忆？"
"iq-m5-ai-3","ai","ai-app","RAG","","","RAG 系统常见的失效模式有哪些？如何缓解？"
"iq-m5-ai-4","ai","ai-app","Prompt","","","什么时候该用微调（Fine-tuning），什么时候用提示工程（Prompting）？"
"iq-m5-ai-8","ai","ai-app","Prompt","","","如何防护大模型应用的提示注入（Prompt Injection）攻击？"
"iq-m5-ai-9","ai","ai-app","Agent","","https://platform.openai.com/docs/guides/function-calling","描述一个 LLM Agent 的规划-执行闭环，并说明如何让它更稳定。"
"rq-a-ai-app-1-1","ai","ai-app","部署与成本","模型选型与成本优化","","在LLM应用落地中，你如何从“模型选型”的角度出发，为一家预算有限但追求高并发响应的客服场景选择模型？请阐述你的完整决策框架，并对比开源与闭源模型的优劣。"
"rq-a-ai-app-1-2","ai","ai-app","部署与成本","模型选型与成本优化","","请深入解释“路由分级调用”的原理，并设计一个基于规则的降级路由方案。当用户请求“帮我写一首关于秋天的诗”和“计算这个Excel表格中所有数值的标准差”时，你的路由逻辑分别如何决策？"
"rq-a-ai-app-1-3","ai","ai-app","部署与成本","模型选型与成本优化","","请解释“模型蒸馏”的核心原理，并设计一个针对7B模型的知识蒸馏方案，将GPT-4的能力迁移到小模型上。同时说明蒸馏后模型在“幻觉率”上可能出现的退化现象及对策。"
"rq-a-ai-app-1-4","ai","ai-app","RAG","模型选型与成本优化","","在RAG系统中，如何利用“缓存”来降低LLM调用成本？请对比“语义缓存”与“精确缓存”的实现机制，并给出一个基于向量相似度的语义缓存代码实现。"
"rq-a-ai-app-1-5","ai","ai-app","部署与成本","模型选型与成本优化","","请辨析“开源模型+自部署”与“闭源API”在“隐性成本”上的差异，并给出一个TCO（总拥有成本）计算模型。在什么场景下，闭源API反而更便宜？"
"rq-a-ai-app-1-6","ai","ai-app","部署与成本","模型选型与成本优化","","请从“成本优化”角度，设计一个完整的LLM应用降本方案，要求结合“路由、蒸馏、缓存”三种手段，并说明每种手段的预期收益和引入的新风险。"
"rq-a-ai-app-1-7","ai","ai-app","Eval","模型选型与成本优化","","在“开闭源模型对比”中，你如何设计一套科学的评测方案来支撑选型决策？请具体说明评测集的构建方法、评测指标的选择，以及如何避免“过拟合评测集”。"
"rq-a-ai-app-2-1","ai","ai-app","部署与成本","多轮对话与记忆管理","","请解释多轮对话中“记忆管理”的核心目标是什么？它和单轮对话的上下文处理有什么本质区别？"
"rq-a-ai-app-2-1-r2","ai","ai-app","部署与成本","私有化部署与合规","","在 LLM 私有化部署场景中，“数据不出域”具体指什么？请从网络、存储、计算三个层面分别阐述实现方案，并说明为什么仅靠“本地部署”并不能完全保证数据合规。"
"rq-a-ai-app-2-2","ai","ai-app","RAG","多轮对话与记忆管理","","请详细说明上下文压缩（Context Compression）的常见实现方案，并对比它们的优缺点。"
"rq-a-ai-app-2-2-r2","ai","ai-app","部署与成本","私有化部署与合规","","在私有化部署 LLM 时，如何设计一套完整的审计与内容安全机制？请从输入侧、输出侧、操作侧三个维度展开，并给出关键实现要点。"
"rq-a-ai-app-2-3","ai","ai-app","部署与成本","多轮对话与记忆管理","","在设计一个长期记忆存储系统时，你会如何区分“短期记忆”和“长期记忆”？请给出一个具体的存储架构方案。"
